"id","area","rooms","floor","year","price","district","lat","lng","status","created_at","updated_at","address","bathrooms","decoration","halls","name","orientation","price_per_sqm","property_type","total_floors"
"7083","109.7","3","2","2026","610736.1","崇皇街道","34.534831","109.10178","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区崇皇街道崇皇花园7栋2单元","2","精装","2","崇皇花园","南","5567.33","住宅","18"
"7084","89.5","2","24","2026","443194.16","泾渭街道","34.534373","109.094811","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区泾渭街道泾渭佳苑17栋1单元","1","精装","1","泾渭佳苑","西南","4951.89","住宅","25"
"7085","76.8","1","7","2025","435166.46","泾渭街道","34.517656","109.085937","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区泾渭街道泾渭明珠17栋6单元","1","精装","1","泾渭明珠","南","5666.23","公寓","18"
"7086","131.1","3","11","2025","916092.71","泾渭街道","34.530346","109.086724","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区泾渭街道泾渭上城14栋3单元","1","精装","2","泾渭上城","南","6987.74","住宅","18"
"7087","80.6","2","12","2025","444172.9","鹿苑街道","34.523892","109.086833","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区鹿苑街道鹿苑小区14栋2单元","1","毛坯","1","鹿苑小区","北","5510.83","公寓","18"
"7088","139.2","3","5","2025","900103.39","泾渭街道","34.5242","109.086721","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区泾渭街道泾渭佳苑2栋2单元","1","简装","2","泾渭佳苑","东南","6466.26","住宅","11"
"7089","108.4","3","25","2025","698152.37","泾渭街道","34.533668","109.093675","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区泾渭街道泾渭新城8栋1单元","2","精装","2","泾渭新城","东南","6440.52","住宅","25"
"7090","84.1","1","4","2025","503925.52","鹿苑街道","34.531716","109.070821","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区鹿苑街道鹿苑华庭7栋3单元","1","简装","1","鹿苑华庭","西北","5991.98","住宅","11"
"7091","155","4","3","2025","755668.4","泾渭街道","34.532612","109.084632","sold","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区泾渭街道泾渭佳苑11栋5单元","1","精装","3","泾渭佳苑","西","4875.28","住宅","6"
"7092","169.4","4","5","2025","817561.67","泾渭街道","34.524115","109.079951","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区泾渭街道泾渭佳苑3栋5单元","2","精装","3","泾渭佳苑","南","4826.22","住宅","25"
"7093","96.7","2","16","2026","594306.6","鹿苑街道","34.529909","109.080083","sold","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区鹿苑街道鹿苑小区5栋4单元","1","豪装","1","鹿苑小区","南","6145.88","住宅","25"
"7094","145.5","4","5","2026","887934.12","泾渭街道","34.537877","109.089805","available","3/5/2026 05:47:37.541919+00","3/5/2026 05:47:37.541919+00","西安市高陵区泾渭街道泾渭上城7栋6单元","1","简装","3","泾渭上城","南","6102.64","住宅","6"
